experience_years,rating,total_jobs,completion_rate,response_time,verified,reliability,reliability_label
18,4.43,30,0.97,13.61,1,Moderately Reliable,1
5,3.82,343,0.82,3.59,1,Moderately Reliable,1
18,2.6,69,0.98,7.65,1,Low Reliability,0
11,4.46,372,0.98,16.73,0,Moderately Reliable,1
12,4.97,183,0.88,14.37,1,Moderately Reliable,1
20,3.93,494,0.71,11.76,0,Moderately Reliable,1
6,4.49,58,0.9,2.82,0,Highly Reliable,2
3,4.39,229,0.63,3.21,1,Low Reliability,0
2,3.01,372,0.8,22.77,1,Moderately Reliable,1
2,4.43,218,0.87,4.64,1,Highly Reliable,2
10,4.8,43,0.77,3.57,1,Moderately Reliable,1
11,4.35,45,0.61,23.37,1,Low Reliability,0
13,3.2,167,1.0,8.36,1,Moderately Reliable,1
14,3.09,149,1.0,10.27,1,Moderately Reliable,1
10,3.77,166,0.64,21.74,1,Low Reliability,0
19,3.74,425,0.73,23.48,1,Moderately Reliable,1
7,3.24,16,0.9,2.28,1,Moderately Reliable,1
9,3.59,483,0.99,17.77,0,Moderately Reliable,1
14,3.78,49,0.67,23.69,0,Moderately Reliable,1
16,3.57,254,0.83,15.97,0,Moderately Reliable,1
2,2.85,13,0.79,10.27,1,Low Reliability,0
14,4.17,419,0.96,7.25,1,Moderately Reliable,1
16,4.84,374,0.99,10.37,0,Moderately Reliable,1
10,4.18,339,0.7,19.02,1,Moderately Reliable,1
20,2.98,349,0.65,19.61,1,Low Reliability,0
9,4.41,298,0.88,5.98,1,Highly Reliable,2
12,4.74,290,0.84,14.82,1,Moderately Reliable,1
16,2.55,267,0.64,6.42,0,Low Reliability,0
5,4.64,235,0.75,14.59,0,Moderately Reliable,1
15,4.73,31,0.92,7.11,1,Highly Reliable,2
7,3.36,343,0.79,4.08,1,Moderately Reliable,1
5,3.78,290,0.99,13.12,1,Moderately Reliable,1
13,2.85,157,0.79,11.39,1,Low Reliability,0
2,3.29,221,0.77,22.52,0,Moderately Reliable,1
12,3.5,185,0.96,21.17,1,Moderately Reliable,1
15,4.65,333,0.8,13.47,0,Moderately Reliable,1
10,3.69,190,0.86,1.18,1,Moderately Reliable,1
8,3.97,492,0.91,7.36,1,Moderately Reliable,1
4,3.94,114,1.0,3.1,1,Moderately Reliable,1
3,4.05,146,0.69,19.1,1,Moderately Reliable,1
10,4.01,53,0.67,11.07,1,Moderately Reliable,1
2,4.39,307,0.99,6.12,1,Highly Reliable,2
18,4.76,393,0.93,9.75,1,Moderately Reliable,1
1,3.35,491,0.83,10.53,1,Moderately Reliable,1
9,3.69,432,0.79,13.74,1,Moderately Reliable,1
17,3.05,320,0.83,1.33,1,Moderately Reliable,1
4,4.85,232,0.79,14.49,1,Moderately Reliable,1
17,2.91,350,0.62,20.89,1,Low Reliability,0
8,4.33,418,0.67,23.36,0,Moderately Reliable,1
19,4.53,286,0.93,13.63,1,Moderately Reliable,1
18,4.35,479,0.83,8.39,1,Moderately Reliable,1
18,2.8,191,0.84,15.68,1,Low Reliability,0
15,3.54,376,0.78,16.4,1,Moderately Reliable,1
8,4.5,260,0.66,21.24,1,Moderately Reliable,1
14,4.99,412,0.62,5.29,1,Low Reliability,0
19,4.9,201,0.78,15.81,1,Moderately Reliable,1
19,3.58,129,0.91,7.28,1,Moderately Reliable,1
15,3.1,179,0.95,3.5,1,Moderately Reliable,1
1,4.44,303,0.98,8.96,1,Moderately Reliable,1
19,4.23,172,0.72,14.06,0,Moderately Reliable,1
16,3.85,217,0.89,14.46,0,Moderately Reliable,1
11,3.51,220,0.67,7.95,1,Moderately Reliable,1
8,4.69,381,0.9,6.26,1,Highly Reliable,2
5,4.17,42,0.67,0.53,0,Moderately Reliable,1
5,4.72,285,0.92,11.56,1,Moderately Reliable,1
7,4.38,226,0.89,12.92,1,Moderately Reliable,1
16,4.21,396,0.63,19.04,1,Low Reliability,0
20,4.83,344,0.69,4.06,1,Moderately Reliable,1
9,4.39,180,0.68,6.16,1,Moderately Reliable,1
19,4.08,200,0.74,1.53,1,Moderately Reliable,1
10,4.92,448,0.83,18.8,0,Moderately Reliable,1
5,3.53,343,0.75,1.76,0,Moderately Reliable,1
20,3.97,98,0.85,19.66,0,Moderately Reliable,1
14,4.59,266,0.95,8.93,1,Moderately Reliable,1
14,2.99,351,0.85,13.5,1,Low Reliability,0
7,3.66,262,0.92,5.1,1,Moderately Reliable,1
14,3.44,463,0.63,6.25,1,Low Reliability,0
12,3.09,298,0.86,2.26,1,Moderately Reliable,1
19,4.01,391,0.64,11.07,0,Low Reliability,0
9,3.95,274,0.98,9.52,1,Moderately Reliable,1
8,3.61,184,0.96,11.68,1,Moderately Reliable,1
15,4.5,89,0.9,20.98,1,Moderately Reliable,1
8,3.33,55,0.88,4.41,1,Moderately Reliable,1
2,3.52,179,0.72,2.57,0,Moderately Reliable,1
3,2.65,286,0.79,23.31,1,Low Reliability,0
17,3.42,186,0.95,4.86,1,Moderately Reliable,1
14,4.13,350,0.93,12.97,1,Moderately Reliable,1
15,4.45,164,0.61,17.51,0,Low Reliability,0
8,3.06,101,0.67,7.5,1,Moderately Reliable,1
16,4.02,140,0.97,10.13,1,Moderately Reliable,1
19,3.65,141,0.96,16.72,1,Moderately Reliable,1
14,4.17,284,0.63,11.29,1,Low Reliability,0
1,3.28,404,0.69,23.95,1,Moderately Reliable,1
3,4.36,347,0.96,22.47,1,Moderately Reliable,1
7,3.49,387,0.79,2.48,0,Moderately Reliable,1
19,4.41,355,0.87,10.74,1,Moderately Reliable,1
5,4.85,113,0.83,2.97,0,Moderately Reliable,1
2,3.97,403,0.78,21.67,0,Moderately Reliable,1
3,3.84,76,1.0,0.68,0,Moderately Reliable,1
9,4.07,253,0.66,4.3,1,Moderately Reliable,1
